Name,Class,Range,RoF,Dam,Dam Type,Pen,Clip,Rld,Special,Wt,Availability,Group,Book
Hell Hammer Lascannon,Heavy,300m,S/–/–,5d10+10,E,10,5,2 Full,['Proven (3)'],55kg,Extremely Rare,Las,Core
Lasgun,Basic,100m,S/3/–,1d10+3,E,0,60,Full,['Reliable'],4kg,Common,Las,Core
Laspistol,Pistol,30m,S/2/–,1d10+2,E,0,30,Half,['Reliable'],1.5kg,Common,Las,Core
Las Carbine,Basic,75m,S/2/–,1d10+3,E,0,60,Half,['Reliable'],2.5kg,Common,Las,Core
Long-Las,Basic,150m,S/–/–,1d10+3,E,1,40,Full,"['Accurate', 'Reliable', 'Felling (4)']",4.5kg,Scarce,Las,Core
M41 Multilaser,Heavy,150m,–/–/5,2d10+10,E,2,100,2 Full,['Reliable'],35kg,Very Rare,Las,Core
Autogun,Basic,100m,S/3/10,1d10+3,I,0,30,Full,['—'],5kg,Average,SP,Core
Autopistol,Pistol,30m,S/–/6,1d10+2,I,0,18,Full,['—'],1.5kg,Average,SP,Core
Assault Shotgun,Basic,30m,S/3/–,1d10+4,I,0,12,2 Full,['Scatter'],5.5kg,Scarce,SP,Core
Bow,Basic,40m,S/–/–,1d10,R,0,1,Half,"['Primitive (6)', 'Reliable']",2kg,Plentiful,SP,Core
Crossbow,Basic,30m,S/–/–,1d10+1,R,0,1,2 Full,['Primitive (7)'],3kg,Average,SP,Core
Flintlock Pistol,Pistol,15m,S/–/–,1d10+2,I,0,1,3 Full,"['Primitive (8)', 'Innacurate', 'Unreliable']",3kg,Common,SP,Core
Flintlock Musket,Basic,30m,S/–/–,1d10+3,I,0,1,5 Full,"['Primitive (8)', 'Innacurate', 'Unreliable']",7kg,Common,SP,Core
Hand Cannon,Pistol,35m,S/–/–,1d10+4,I,2,5,2 Full,['—'],3kg,Scarce,SP,Core
Harpoon Gun,Heavy,40m,S/–/–,2d10+2,R,0,1,4 Full,"['Crippling (5)', 'Primitive (9)', 'Snare (1)']",18kg,Scarce,SP,Core
Heavy Stubber,Heavy,100m,–/–/8,1d10+5,I,3,75,2 Full,[''],30kg,Rare,SP,Core
Legion Shotgun,Basic,30m,S/2/–,1d10+6,I,0,10,2 Full,"['Reliable', 'Scatter']",10kg,Very Rare,SP,Core
M34 Autocannon,Heavy,300m,S/3/–,3d10+8,I,6,20,2 Full,['Reliable'],40kg,Very Rare,SP,Core
Reaper Autocannon,Heavy,300m,S/4/–,3d10+8,I,6,40,2 Full,"['Reliable', 'Twin-Linked']",60kg,Extremely Rare,SP,Core
Shotgun,Basic,30m,S/–/–,1d10+4,I,0,8,2 Full,['Scatter'],5kg,Plentiful,SP,Core
Stub Automatic,Pistol,30m,S/3/–,1d10+3,I,0,9,Full,['—'],1.5kg,Average,SP,Core
Stub Revolver,Pistol,30m,S/–/–,1d10+3,I,0,6,2 Full,['Reliable'],1.5kg,Plentiful,SP,Core
Stub Rifle,Basic,120m,S/–/–,1d10+3,I,1,5,Full,['Accurate'],5.5kg,Average,SP,Core
Bolter,Basic,100m,S/3/–,1d10+5,X,4,24,Full,['Tearing'],7kg,Very Rare,Bolt,Core
Bolt Pistol,Pistol,30m,S/2/–,1d10+5,X,4,8,Full,['Tearing'],3.5kg,Very Rare,Bolt,Core
Combi-Bolter,Basic,80m,S/3/–,1d10+5,X,4,32,2 Full,"['Tearing', 'Twin-Linked']",12kg,Extremely Rare,Bolt,Core
Heavy Bolter,Heavy,150m,–/–/6,1d10+8,X,5,60,Full,['Tearing'],40kg,Very Rare,Bolt,Core
Legion Bolter,Basic,100m,S/3/–,1d10+9,X,4,24,Full,['Tearing'],10kg,Extremely Rare,Bolt,Core
Legion Bolt Pistol,Pistol,30m,S/2/–,1d10+9,X,4,8,Full,['Tearing'],5.5kg,Extremely Rare,Bolt,Core
Legion Combibolter,Basic,80m,S/4/–,1d10+9,X,4,32,2 Full,"['Tearing', 'Twin-Linked']",15kg,Extremely Rare,Bolt,Core
Legion Heavy Bolter,Heavy,150m,–/–/6,1d10+12,X,5,60,Full,['Tearing'],45kg,Extremely Rare,Bolt,Core
Inferno Pistol,Pistol,10m,S/–/–,2d10+10,E,12,3 Full,Melta,['3kg'],Extremely Rare,Melta,,Core
Legion Meltagun,Basic,20m,S/–/–,2d10+13,E,12,6,2 Full,['Melta'],17kg,Extremely Rare,Melta,Core
Meltagun Basic,20m,S/–/–,2d10+10,E,12,5,2 Full,Melta,['15kg'],Very Rare,Melta,,Core
Multi-melta,Heavy,60m,S/–/–,2d10+16,E,12,12,2 Full,"['Melta', 'Blast (1)']",40kg,Very Rare,Melta,Core
Legion Plasma Gun,Basic,100m,S/2/–,1d10+12,E,10,24,5 Full,"['Maximal', 'Overheats']",18kg,Very Rare,Plasma,Core
Legion Plasma Pistol,Pistol,30m,S/2/–,1d10+10,E,8,12,3 Full,"['Maximal', 'Overheats']",4kg,Very Rare,Plasma,Core
Plasma Cannon,Heavy,150m,S/–/–,2d10+12,E,10,16,5 Full,"['Blast (3)', 'Maximal', 'Overheats']",40kg,Very Rare,Plasma,Core
Plasma Gun,Basic,90m,S/2/–,1d10+8,E,10,20,5 Full,"['Maximal', 'Overheats']",18kg,Very Rare,Plasma,Core
Plasma Pistol,Pistol,40m,S/2/–,1d10+7,E,8,10,3 Full,"['Maximal', 'Overheats']",4kg,Very Rare,Plasma,Core
Flamer,Basic,20m,S/–/–,1d10+4,E,2,6,2 Full,"['Flame', 'Spray']",6kg,Common,Flame,Core
Hand Flamer,Pistol,10m,S/–/–,1d10+4,E,2,2,Full,"['Flame', 'Spray']",3.5kg,Scarce,Flame,Core
Heavy Flamer,Heavy,30m,S/–/–,1d10+8,E,5,10,2 Full,"['Flame', 'Spray']",20kg,Rare,Flame,Core
Legion Flamer,Basic,20m,S/–/–,1d10+9,E,4,6,2 Full,"['Flame', 'Spray']",10kg,Scarce,Flame,Core
Legion Heavy Flamer,Heavy,30m,S/–/–,1d10+12,E,6,15,2 Full,"['Flame', 'Spray']",25kg,Very Rare,Flame,Core
Grenade Launcher,Basic,60m,S/–/–,Ammo,Ammo,Ammo,6,2 Full,['Ammo'],12kg,Average,Launcher,Core
Missile Launcher,Heavy,300m,S/–/–,Ammo,Ammo,Ammo,1,Full,['Ammo'],35kg,Rare,Launcher,Core
Blight Grenade,Thrown,SBx3,S/–/–,2d10,E,0,1,—,"['Toxic (2)', 'Blast (6)']",.5kg,Scarce,Grenade,Core
Frag Missile,Missile,—,—,2d10+2,X,2,—,—,"['Blast (5)', 'Devastating (1)']",.5kg,Average,Missile,Core
Krak Missile,Missile,—,—,3d10+8,X,8,—,—,"['Concussive (3)', 'Proven (2)']",.5kg,Scarce,Missile,Core
Frag Grenade,Thrown,SBx3,S/–/–,2d10,X,0,1,—,['Blast (3)'],.5kg,Common,Grenade,Core
Krak Grenade,Thrown,SBx3,S/–/–,2d10+4,X,6,1,—,['Concussive (0)'],.5kg,Rare,Grenade,Core
Hallucinogen Grenade,Thrown,SBx3,S/–/–,—,-,0,1,—,"['Hallucinogenic (2)', 'Blast (6)']",.5kg,Scarce,Grenade,Core
Haywire Grenade,Thrown,SBx3,S/–/–,—,-,0,1,—,['Haywire (3)'],.5kg,Rare,Grenade,Core
Legion Frag Grenade,Thrown,SBx3,S/–/–,2d10+2,X,0,1,—,['Blast (4)'],.7kg,Scarce,Grenade,Core
Legion Krak Grenade,Thrown,SBx3,S/–/–,2d10+8,X,6,1,—,['—'],.7kg,Rare,Grenade,Core
Photon Flash,Thrown,SBx3,S/–/–,—,-,0,1,—,['Blast (10)'],.5kg,Rare,Grenade,Core
Smoke Grenade,Thrown,SBx3,S/–/–,—,-,0,1,—,['Smoke'],.5kg,Common,Grenade,Core
Stun Grenade,Thrown,SBx3,S/–/–,—,-,0,1,—,"['Blast (3)', 'Concussive (2)']",.5kg,Common,Grenade,Core
Web Grenade,Thrown,SBx3,S/–/–,—,-,0,1,—,['Snare (2)'],.5kg,Rare,Grenade,Core
Noise Marine Blastmaster (Explosive Crescendo),Heavy,250m,S/–/–,3d10+10,E,8,—,—,"['Blast (4)', 'Devastating (2)']",41kg,Near Unique,Exotic,Core
Noise Marine Blastmaster (Hail of Noise),Basic,150m,S/2/–,1d10+12,E,6,—,—,"['Devastating (1)', 'Storm']",41kg,Near Unique,Exotic,Core
Noise Marine Doom Siren,Basic,30m,S/–/–,1d10+12,E,9,—,—,['Spray'],18kg,Extremely Rare,Exotic,Core
Noise Marine Sonic Blaster,Basic,100m,S/2/4,1d10+9,E,4,—,—,['—'],21kg,Extremely Rare,Exotic,Core
Razor Web,Basic,50m,S/–/–,1d10+2,R,3,6,2 Full,"['Blast (2)', 'Crippling (3)', 'Snare (1)']",12kg,Extremely Rare,Exotic,Core
Reaver Long Rifle,Basic,150m,S/–/–,1d10+4,R,2,4,Full,"['Accurate', 'Felling (3)', 'Toxic (0)']",3kg,Scarce,Exotic,Core
Splinter Rifle,Basic,100m,S/3/5,1d10+2,R,3,200,2 Full,['Toxic (4)'],2.5kg,Extremely Rare,Exotic,Core
Spore Caster,Basic,10m,S/–/–,—,-,0,1,2 Full,"['Devastating (5)', 'Hallucinogenic (3)', 'Spray']",5kg,Extremely Rare,Exotic,Core
Static Repeater,Basic,80m,S/4/–,1d10+1,E,0,4,Full,"['Haywire (1)', 'Storm']",3kg,Near Unique,Exotic,Core
Warp Cannon,Heavy,100m,S/–/–,3d10,E,0,8,4 Full,"['Blast (3)', 'Recharge', 'Warp Weapon']",30kg,Near Unique,Exotic,Core
Arm-mounted Chainblade,Melee,—,-,1d10+2,R,3,-,-,['Tearing'],5kg,Rare,Chain,Core
Chain Dagger,Melee,—,-,1d10+1,R,2,-,-,['Tearing'],2kg,Rare,Chain,Core
Chain Greatsword,Melee,—,-,2d10+2,R,3,-,-,"['Tearing', 'Unbalanced']",16kg,Scarce,Chain,Core
Chainaxe (human),Melee,—,-,1d10+4,R,2,-,-,['Tearing'],13kg,Average,Chain,Core
Chainaxe (Legion),Melee,—,-,1d10+5,R,3,-,-,['Tearing'],14kg,Extremely,Rare,Core
Chainsword (human),Melee,—,-,1d10+2,R,2,-,-,"['Tearing', 'Balanced']",6kg,Average,Chain,Core
Chainsword (Legion),Melee,—,-,1d10+3,R,3,-,-,"['Tearing', 'Balanced']",10kg,Extremely,Rare,Core
Chain Halberd,Melee,—,-,1d10+3,R,3,-,-,['Tearing'],8kg,Rare,Chain,Core
Fallen Magos Power Axe,Melee,—,-,2d10+4,E,6,-,-,"['Power Field', 'Unbalanced']",9kg,Extremely Rare,Power,Core
Legion Chainfist,Melee,—,-,2d10†,E,10,-,-,"['Power Field', 'Tearing', 'Unwieldy']",48kg,Extremely Rare,Power,Core
Lightning Claw,Melee,—,-,1d10+6,E,8,-,-,"['Power Field', 'Proven (4)', 'Special']",30kg,Extremely Rare,Power,Core
Power Axe (human),Melee,—,-,1d10+7,E,6,-,-,"['Power Field', 'Unbalanced']",8kg,Extremely Rare,Power,Core
Power Axe (Legion),Melee,—,-,1d10+8,E,7,-,-,"['Power Field', 'Unbalanced']",10kg,Extremely Rare,Power,Core
Power Blade,Melee,—,-,1d10+3,E,5,-,-,['Power Field'],3kg,Very Rare,Power,Core
Power Fist (human),Melee,—,-,2d10,E,8,-,-,"['Power Field', 'Unwieldy', 'Special']",13kg,Very Rare,Power,Core
Power Fist (Legion),Melee,—,-,2d10,E,9,-,-,"['Power Field', 'Unwieldy', 'Special']",25kg,Extremely Rare,Power,Core
Power Mace ,Melee,—,-,1d10+6,E,4,-,-,"['Power Field', 'Special']",8kg,Extremely Rare,Power,Core
Power Scythe,Melee,—,-,1d10+7,E,7,-,-,"['Power Field', 'Unbalanced']",9kg,Very Rare,Power,Core
Power Sword (human),Melee,—,-,1d10+5,E,5,-,-,"['Power Field', 'Balanced']",3kg,Very Rare,Power,Core
Power Sword (Legion),Melee,—,-,1d10+6,E,6,-,-,"['Power Field', 'Balanced']",5kg,Extremely Rare,Power,Core
Axon Razor,Melee,—,-,1d5,R,4,-,-,"['Crippling (5)', 'Razor Sharp']",1kg,Near Unique,Exotic,Core
Bone Maul,Melee,—,-,2d10,I,2,-,-,"['Unbalanced', 'Tainted']",7kg,Near Unique,Exotic,Core
Fang Dagger,Melee,—,-,1d10,R,2,-,-,['Warp Weapon'],2kg,Near Unique,Exotic,Core
Flensing Blade,Melee,—,-,1d10+5,R,3,-,-,"['Razor Sharp', 'Balanced']",2kg,Extremely Rare,Exotic,Core
Q’sal Glass Dagger,Melee,—,-,1d10+2,R,6,-,-,['Toxic(1)'],1kg,Extremely Rare,Exotic,Core
Hellblade,Melee,—,-,1d10+6,R,10,-,-,"['Balanced', 'Power Field', 'Special']",3kg,Unique,Exotic,Core
Frozen Shard,Melee,—,-,1d10+6,R,8,-,-,"['Balanced', 'Felling (3)']",2kg,Extremely Rare,Exotic,Core
Velklir Rapier,Melee,—,-,1d10+7,E,7,-,-,"['Balanced', 'Flexible', 'Razor Sharp', 'Special']",1kg,Unique,Exotic,Core
Plague Sword,Melee,—,-,1d10+3,R,4,-,-,"['Balanced', 'Toxic (2)', 'Special']",2kg,Extremely Rare,Exotic,Core
Searing Blade,Melee,—,-,1d10+6,E,7,-,-,['Balanced'],3kg,Near Unique,Exotic,Core
Force Rod,Melee,—,-,1d5,I,0,-,-,['Force'],1kg,Near Unique,Force,Core
Force Scythe,Melee,—,-,1d10+4,R,3,-,-,"['Unbalanced', 'Force']",10kg,Near Unique,Force,Core
Force Staff,Melee,—,-,1d10,I,0,-,-,"['Balanced', 'Force']",4kg,Near Unique,Force,Core
Force Sword,Melee,—,-,1d10+2,R,2,-,-,"['Balanced', 'Force']",8kg,Near Unique,Force,Core
Staff of Change,Melee,—,-,1d10+5,I,5,-,-,"['Force', 'Warp Weapon']",4kg,Unique,Force,Core
Shock Maul,Melee,—,-,1d10,I,0,-,-,['Shocking'],3kg,Scarce,Shock,Core
Electro-Flail,Melee,—,-,1d10+2,I,0,-,-,"['Flexible', 'Shocking']",5kg,Rare,Shock,Core
Neural Whip,Melee,3m,-,1d10+1,R,0,-,-,"['Flexible', 'Shocking']",4kg,Rare,Shock,Core
Armoured Gauntlet,Melee,—,-,1d5+1,I,0,-,-,['Primitive (6)'],1kg,Average,Primary,Core
Legion Combat Knife,Melee,—,-,1d10,R,2,-,-,['-'],2kg,Very Rare,Primary,Core
Axe,Melee,—,-,1d10+1,R,0,-,-,['Unwieldy'],4kg,Average,Primary,Core
Great Weapon,Melee,-,—,2d10,-,0,-,-,['Unbalanced'],7kg,Scarce,Primary,Core
Hammer,Melee,—,-,1d10+1,I,0,-,-,"['Primitive (9)', 'Unbalanced']",4kg,Common,Primary,Core
Improvised,Melee,-,—,1d10,I,0,-,-,"['Primitive(7)', 'Unbalanced']",Varies,Plentiful,Primary,Core
Knife,Melee/Thrown,-,—,1d5,R,0,-,-,[''],1kg,Plentiful,Primary,Core
Scythe,Melee,—,-,1d10+4,R,3,-,-,"['Unbalanced', 'Felling (1)']",6kg,Common,Primary,Core
Shield,Melee,—,-,1d10,I,0,-,-,"['Primitive (6)', 'Defensive']",3kg,Common,Primary,Core
Spear,Melee,—,-,1d10,R,0,-,-,['Primitive (8)'],3kg,Common,Primary,Core
Staff,Melee,—,-,1d10,I,0,-,-,"['Primitive (7)', 'Balanced']",3kg,Plentiful,Primary,Core
Sword,Melee,-,-,1d10,R,0,-,-,['Balanced'],3kg,Common,Primary,Core
